border,range,column,plot,Block,Accession,Source,Mother,Father,Kernel Count
,1,1,101,1,NAM #4,#0005624,Oh43,@,40k
,1,2,102,1,NAM #4,#0005624,Oh43,@,40k
,1,3,103,1,NAM #4,#0005624,Oh43,@,40k
,1,4,104,1,NAM #6,#0000246,Tx303,@,40k
,1,5,105,1,NAM #6,#0000246,Tx303,@,40k
,1,6,106,1,NAM #6,#0000246,Tx303,@,40k
,1,7,107,1,NAM #7,#0002624,CML322,@,40k
,1,8,108,1,NAM #7,#0002624,CML322,@,40k
,1,9,109,1,NAM #7,#0002624,CML322,@,40k
,1,10,110,1,NAM #1,#0033179,B73,@,40k
,1,11,111,1,NAM #1,#0033179,B73,@,40k
,1,12,112,1,NAM #1,#0033179,B73,@,40k
,1,13,113,3,NAM #1,#0033179,B73,@,40k
,1,14,114,3,NAM #1,#0033179,B73,@,40k
,1,15,115,3,NAM #1,#0033181,B73,@,40k
,1,16,116,3,NAM #7,#0002624,CML322,@,40k
,1,17,117,3,NAM #7,#0002624,CML322,@,40k
,1,18,118,3,NAM #7,#0002624,CML322,@,40k
,1,19,119,3,NAM #6,#0000246,Tx303,@,40k
,1,20,120,3,NAM #6,#0000246,Tx303,@,40k
,1,21,121,3,NAM #6,#0005911,Tx303,@,40k
,1,22,122,3,NAM #2,#0033096,W22,@,40k
,1,23,123,3,NAM #2,#0033096,W22,@,40k
,1,24,124,3,NAM #2,#0033097,W22,@,40k
,2,1,201,1,NAM #2,#0033097,W22,@,40k
,2,2,202,1,NAM #2,#0033097,W22,@,40k
,2,3,203,1,NAM #2,#0033097,W22,@,40k
,2,4,204,1,NAM #8,#0012523,CML228,@,40k
,2,5,205,1,NAM #8,#0012523,CML228,@,40k
,2,6,206,1,NAM #8,#0012523,CML228,@,40k
,2,7,207,1,NAM #5,#0005676,Oh7B,@,40k
,2,8,208,1,NAM #5,#0005676,Oh7B,@,40k
,2,9,209,1,NAM #5,#0005676,Oh7B,@,40k
,2,10,210,1,NAM #3,#0033684,Mo17,@,40k
,2,11,211,1,NAM #3,#0033684,Mo17,@,40k
