"border","range","column","plot","Block","Accession","Source","Mother","Father","Kernel.Count","type"
NA,"01","01","0101","1","NAM #4","#0005624","Oh43","@","40k",NA
NA,"01","02","0102","1","NAM #4","#0005624","Oh43","@","40k",NA
NA,"01","03","0103","1","NAM #4","#0005624","Oh43","@","40k",NA
NA,"01","04","0104","1","NAM #6","#0000246","Tx303","@","40k",NA
NA,"01","05","0105","1","NAM #6","#0000246","Tx303","@","40k",NA
NA,"01","06","0106","1","NAM #6","#0000246","Tx303","@","40k",NA
NA,"01","07","0107","1","NAM #7","#0002624","CML322","@","40k",NA
NA,"01","08","0108","1","NAM #7","#0002624","CML322","@","40k",NA
NA,"01","09","0109","1","NAM #7","#0002624","CML322","@","40k",NA
NA,"01","10","0110","1","NAM #1","#0033179","B73","@","40k",NA
NA,"01","11","0111","1","NAM #1","#0033179","B73","@","40k",NA
NA,"01","12","0112","1","NAM #1","#0033179","B73","@","40k",NA
NA,"01","15","0113","3","NAM #1","#0033179","B73","@","40k",NA
NA,"01","16","0114","3","NAM #1","#0033179","B73","@","40k",NA
NA,"01","17","0115","3","NAM #1","#0033181","B73","@","40k",NA
NA,"01","18","0116","3","NAM #7","#0002624","CML322","@","40k",NA
NA,"01","19","0117","3","NAM #7","#0002624","CML322","@","40k",NA
NA,"01","20","0118","3","NAM #7","#0002624","CML322","@","40k",NA
NA,"01","21","0119","3","NAM #6","#0000246","Tx303","@","40k",NA
NA,"01","22","0120","3","NAM #6","#0000246","Tx303","@","40k",NA
NA,"01","23","0121","3","NAM #6","#0005911","Tx303","@","40k",NA
NA,"01","24","0122","3","NAM #2","#0033096","W22","@","40k",NA
NA,"01","25","0123","3","NAM #2","#0033096","W22","@","40k",NA
NA,"01","26","0124","3","NAM #2","#0033097","W22","@","40k",NA
NA,"02","01","0201","1","NAM #2","#0033097","W22","@","40k",NA
NA,"02","02","0202","1","NAM #2","#0033097","W22","@","40k",NA
NA,"02","03","0203","1","NAM #2","#0033097","W22","@","40k",NA
NA,"02","04","0204","1","NAM #8","#0012523","CML228","@","40k",NA
NA,"02","05","0205","1","NAM #8","#0012523","CML228","@","40k",NA
NA,"02","06","0206","1","NAM #8","#0012523","CML228","@","40k",NA
NA,"02","07","0207","1","NAM #5","#0005676","Oh7B","@","40k",NA
NA,"02","08","0208","1","NAM #5","#0005676","Oh7B","@","40k",NA
NA,"02","09","0209","1","NAM #5","#0005676","Oh7B","@","40k",NA
NA,"02","10","0210","1","NAM #3","#0033684","Mo17","@","40k",NA
NA,"02","11","0211","1","NAM #3","#0033684","Mo17","@","40k",NA
NA,"02","12","0212","1","NAM #3","#0033684","Mo17","@","40k",NA
NA,"02","15","0213","3","NAM #3","#0033684","Mo17","@","40k",NA
NA,"02","16","0214","3","NAM #3","#0033684","Mo17","@","40k",NA
NA,"02","17","0215","3","NAM #3","#0033684","Mo17","@","40k",NA
NA,"02","18","0216","3","NAM #4","#0005624","Oh43","@","40k",NA
NA,"02","19","0217","3","NAM #4","#0005625","Oh43","@","40k",NA
NA,"02","20","0218","3","NAM #4","#0005625","Oh43","@","40k",NA
NA,"02","21","0219","3","NAM #8","#0012523","CML228","@","40k",NA
NA,"02","22","0220","3","NAM #8","#0012523","CML228","@","40k",NA
NA,"02","23","0221","3","NAM #8","#0012523","CML228","@","40k",NA
NA,"02","24","0222","3","NAM #5","#0005676","Oh7B","@","40k",NA
NA,"02","25","0223","3","NAM #5","#0005676","Oh7B","@","40k",NA
NA,"02","26","0224","3","NAM #5","#0005676","Oh7B","@","40k",NA
NA,"03","01","0301","2","NAM #7","#0002624","CML322","@","40k",NA
NA,"03","02","0302","2","NAM #7","#0005956","CML322","@","40k",NA
NA,"03","03","0303","2","NAM #7","#0005956","CML322","@","40k",NA
NA,"03","04","0304","2","NAM #2","#0033098","W22","@","40k",NA
NA,"03","05","0305","2","NAM #2","#0033098","W22","@","40k",NA
NA,"03","06","0306","2","NAM #2","#0033098","W22","@","40k",NA
NA,"03","07","0307","2","NAM #5","#0005676","Oh7B","@","40k",NA
NA,"03","08","0308","2","NAM #5","#0005676","Oh7B","@","40k",NA
NA,"03","09","0309","2","NAM #5","#0005676","Oh7B","@","40k",NA
NA,"03","10","0310","2","NAM #1","#0033181","B73","@","40k",NA
NA,"03","11","0311","2","NAM #1","#0033181","B73","@","40k",NA
NA,"03","12","0312","2","NAM #1","#0033181","B73","@","40k",NA
NA,"03","15","0313","4","NAM #2","#0033099","W22","@","40k",NA
NA,"03","16","0314","4","NAM #2","#0033099","W22","@","40k",NA
NA,"03","17","0315","4","NAM #2","#0033099","W22","@","40k",NA
NA,"03","18","0316","4","NAM #4","#0005625","Oh43","@","40k",NA
NA,"03","19","0317","4","NAM #4","#0005625","Oh43","@","40k",NA
NA,"03","20","0318","4","NAM #4","#0005625","Oh43","@","40k",NA
NA,"03","21","0319","4","NAM #1","#0033181","B73","@","40k",NA
NA,"03","22","0320","4","NAM #1","#0033182","B73","@","40k",NA
NA,"03","23","0321","4","NAM #1","#0033182","B73","@","40k",NA
NA,"03","24","0322","4","NAM #6","#0005911","Tx303","@","40k",NA
NA,"03","25","0323","4","NAM #6","#0005911","Tx303","@","40k",NA
NA,"03","26","0324","4","NAM #6","#0005911","Tx303","@","40k",NA
NA,"04","01","0401","2","NAM #6","#0005911","Tx303","@","40k",NA
